ts,src_ip,query,qtype,answer
2026-02-12T16:50:00Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T16:50:21Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T16:50:42Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T16:51:03Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T16:51:24Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T16:51:45Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T16:52:06Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T16:52:27Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T16:52:48Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T16:53:09Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T16:53:30Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T16:53:51Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T16:54:12Z,10.24.77.19,api.github.com,A,140.82.114.5
2026-02-12T16:54:33Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T16:54:54Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T16:55:15Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T16:55:36Z,10.20.44.22,telemetry.redlab.local,A,10.21.8.9
2026-02-12T16:55:57Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T16:56:18Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T16:56:39Z,10.24.77.41,telemetry.redlab.local,A,10.21.8.9
2026-02-12T16:57:00Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T16:57:21Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T16:57:42Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T16:58:03Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T16:58:24Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T16:58:45Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T16:59:06Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T16:59:27Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T16:59:48Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:00:09Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:00:30Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:00:51Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T17:01:12Z,10.24.77.19,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:01:33Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:01:54Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:02:15Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:02:36Z,10.20.44.22,time.windows.com,A,13.86.101.172
2026-02-12T17:02:57Z,10.24.77.19,time.windows.com,A,13.86.101.172
2026-02-12T17:03:18Z,10.20.44.22,api.github.com,A,140.82.114.5
2026-02-12T17:03:39Z,10.21.8.44,time.windows.com,A,13.86.101.172
2026-02-12T17:04:00Z,10.24.77.41,time.windows.com,A,13.86.101.172
2026-02-12T17:04:21Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T17:04:42Z,10.21.8.44,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:05:03Z,10.21.8.44,api.github.com,A,140.82.114.5
2026-02-12T17:05:24Z,10.24.77.41,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:05:45Z,10.20.44.22,edge-auth-cdn.net,A,185.193.88.17
2026-02-12T17:06:06Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:06:27Z,10.24.77.41,api.github.com,A,140.82.114.5
2026-02-12T17:06:48Z,10.24.77.19,telemetry.redlab.local,A,10.21.8.9
2026-02-12T17:07:09Z,10.21.8.44,officecdn.microsoft.com,A,13.107.6.152
2026-02-12T17:07:30Z,10.20.44.22,officecdn.microsoft.com,A,13.107.6.152
