time,src_ip,dst_ip,src_port,dst_port,proto,bytes,packets,action
2026-02-12T17:00:00Z,10.20.44.22,52.96.44.2,48376,123,TCP,1244,15,ALLOW
2026-02-12T17:00:17Z,10.24.77.88,140.82.114.5,47120,80,TCP,909,30,ALLOW
2026-02-12T17:00:34Z,10.24.77.88,52.96.44.2,51106,53,TCP,5915,32,ALLOW
2026-02-12T17:00:51Z,10.24.77.41,23.54.12.2,57343,53,TCP,1551,34,ALLOW
2026-02-12T17:01:08Z,10.20.44.22,52.96.44.2,63240,53,TCP,3589,29,ALLOW
2026-02-12T17:01:25Z,10.20.11.22,52.96.44.2,59150,22,TCP,2546,38,ALLOW
2026-02-12T17:01:42Z,10.20.44.22,23.54.12.2,52411,123,TCP,8366,8,ALLOW
2026-02-12T17:01:59Z,10.20.44.22,52.96.44.2,45792,22,TCP,7959,35,ALLOW
2026-02-12T17:02:16Z,10.20.44.22,10.20.0.53,51434,443,TCP,6492,6,ALLOW
2026-02-12T17:02:33Z,10.24.77.88,23.54.12.2,42846,443,TCP,7677,10,ALLOW
2026-02-12T17:02:50Z,10.24.77.41,52.96.44.2,55948,80,TCP,4180,16,ALLOW
2026-02-12T17:03:07Z,10.20.44.22,52.96.44.2,43560,123,TCP,5213,30,ALLOW
2026-02-12T17:03:24Z,10.24.77.41,10.20.0.53,47004,22,TCP,8541,15,ALLOW
2026-02-12T17:03:41Z,10.21.8.44,10.20.0.53,61529,22,TCP,3559,21,ALLOW
2026-02-12T17:03:58Z,10.24.77.19,198.51.100.27,54551,443,TCP,11643,42,ALLOW
2026-02-12T17:04:15Z,10.24.77.41,13.107.6.152,45803,123,TCP,7522,24,ALLOW
2026-02-12T17:04:32Z,10.24.77.88,140.82.114.5,40518,53,TCP,7572,26,ALLOW
2026-02-12T17:04:49Z,10.20.11.22,23.54.12.2,48698,80,TCP,3957,24,ALLOW
2026-02-12T17:05:06Z,10.20.11.22,23.54.12.2,54765,80,TCP,7386,9,ALLOW
2026-02-12T17:05:23Z,10.20.11.22,140.82.114.5,48469,22,TCP,5192,20,ALLOW
2026-02-12T17:05:40Z,10.21.8.44,52.96.44.2,56756,53,TCP,6663,39,ALLOW
2026-02-12T17:05:57Z,10.20.11.22,140.82.114.5,49792,123,TCP,3537,4,ALLOW
2026-02-12T17:06:14Z,10.21.8.44,10.20.0.53,57718,53,TCP,6716,12,ALLOW
2026-02-12T17:06:31Z,10.21.8.44,10.20.0.53,41643,443,TCP,686,40,ALLOW
2026-02-12T17:06:48Z,10.20.11.22,23.54.12.2,43816,123,TCP,3220,35,ALLOW
2026-02-12T17:07:05Z,10.20.11.22,52.96.44.2,62786,123,TCP,7983,33,ALLOW
2026-02-12T17:07:22Z,10.21.8.44,52.96.44.2,49763,22,TCP,5565,12,ALLOW
2026-02-12T17:07:39Z,10.21.8.44,10.20.0.53,47314,53,TCP,674,40,ALLOW
2026-02-12T17:07:56Z,10.24.77.41,23.54.12.2,52867,53,TCP,5110,15,ALLOW
2026-02-12T17:08:13Z,10.24.77.41,52.96.44.2,50693,22,TCP,4975,15,ALLOW
2026-02-12T17:08:30Z,10.20.11.22,140.82.114.5,47941,53,TCP,4448,14,ALLOW
2026-02-12T17:08:47Z,10.24.77.88,140.82.114.5,63157,80,TCP,4836,3,ALLOW
2026-02-12T17:09:04Z,10.21.8.44,10.20.0.53,47018,80,TCP,6265,4,ALLOW
2026-02-12T17:09:21Z,10.24.77.41,10.20.0.53,53143,22,TCP,8034,8,ALLOW
2026-02-12T17:09:38Z,10.24.77.41,13.107.6.152,54564,80,TCP,5660,32,ALLOW
