ts,note,src,dst,level
2026-02-12T18:00:00Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,52.96.44.2,Notice
2026-02-12T18:00:30Z,SSL::Invalid_Server_Cert,10.20.44.22,13.107.6.152,Info
2026-02-12T18:01:00Z,SSL::Invalid_Server_Cert,10.24.77.41,52.96.44.2,Notice
2026-02-12T18:01:30Z,Scan::Port_Scan,203.0.113.199,10.20.11.22,Warning
2026-02-12T18:02:00Z,SSL::Invalid_Server_Cert,10.24.77.41,13.107.6.152,Notice
2026-02-12T18:02:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,52.96.44.2,Warning
2026-02-12T18:03:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,140.82.114.5,Info
2026-02-12T18:03:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,52.96.44.2,Notice
2026-02-12T18:04:00Z,SSL::Invalid_Server_Cert,10.24.77.41,52.96.44.2,Info
2026-02-12T18:04:30Z,SSL::Invalid_Server_Cert,10.20.44.22,52.96.44.2,Info
2026-02-12T18:05:00Z,SSL::Invalid_Server_Cert,10.24.77.41,140.82.114.5,Info
2026-02-12T18:05:30Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Info
2026-02-12T18:06:00Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Info
2026-02-12T18:06:30Z,SSL::Invalid_Server_Cert,10.24.77.41,13.107.6.152,Notice
2026-02-12T18:07:00Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Info
2026-02-12T18:07:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,52.96.44.2,Warning
2026-02-12T18:08:00Z,SSL::Invalid_Server_Cert,10.20.44.22,52.96.44.2,Info
2026-02-12T18:08:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,140.82.114.5,Notice
2026-02-12T18:09:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,52.96.44.2,Warning
2026-02-12T18:09:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,52.96.44.2,Notice
2026-02-12T18:10:00Z,SSL::Invalid_Server_Cert,10.20.44.22,140.82.114.5,Warning
2026-02-12T18:10:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,13.107.6.152,Notice
2026-02-12T18:11:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,13.107.6.152,Notice
2026-02-12T18:11:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Notice
2026-02-12T18:12:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,140.82.114.5,Info
2026-02-12T18:12:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,52.96.44.2,Warning
2026-02-12T18:13:00Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,140.82.114.5,Warning
2026-02-12T18:13:30Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Info
2026-02-12T18:14:00Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Warning
2026-02-12T18:14:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,13.107.6.152,Notice
2026-02-12T18:15:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,52.96.44.2,Notice
2026-02-12T18:15:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Info
2026-02-12T18:16:00Z,SSL::Invalid_Server_Cert,10.24.77.41,13.107.6.152,Notice
2026-02-12T18:16:30Z,SSL::Invalid_Server_Cert,10.21.8.44,140.82.114.5,Warning
2026-02-12T18:17:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Warning
2026-02-12T18:17:30Z,SSL::Invalid_Server_Cert,10.20.44.22,52.96.44.2,Warning
2026-02-12T18:18:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Notice
2026-02-12T18:18:30Z,SSL::Invalid_Server_Cert,10.20.44.22,52.96.44.2,Info
2026-02-12T18:19:00Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,140.82.114.5,Info
2026-02-12T18:19:30Z,SSL::Invalid_Server_Cert,10.20.44.22,140.82.114.5,Notice
2026-02-12T18:20:00Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Info
2026-02-12T18:20:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,52.96.44.2,Info
2026-02-12T18:21:00Z,SSL::Invalid_Server_Cert,10.21.8.44,140.82.114.5,Warning
2026-02-12T18:21:30Z,SSL::Invalid_Server_Cert,10.24.77.41,140.82.114.5,Warning
2026-02-12T18:22:00Z,SSL::Invalid_Server_Cert,10.20.44.22,52.96.44.2,Warning
2026-02-12T18:22:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Warning
2026-02-12T18:23:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,140.82.114.5,Warning
2026-02-12T18:23:30Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Notice
2026-02-12T18:24:00Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Warning
2026-02-12T18:24:30Z,SSL::Invalid_Server_Cert,10.24.77.41,140.82.114.5,Warning
2026-02-12T18:25:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Warning
2026-02-12T18:25:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Warning
2026-02-12T18:26:00Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,13.107.6.152,Notice
2026-02-12T18:26:30Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Warning
2026-02-12T18:27:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Warning
2026-02-12T18:27:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,13.107.6.152,Notice
2026-02-12T18:28:00Z,SSL::Invalid_Server_Cert,10.20.44.22,140.82.114.5,Warning
2026-02-12T18:28:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,52.96.44.2,Notice
2026-02-12T18:29:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Info
2026-02-12T18:29:30Z,SSL::Invalid_Server_Cert,10.20.44.22,140.82.114.5,Notice
2026-02-12T18:30:00Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,52.96.44.2,Info
2026-02-12T18:30:30Z,TeamCymruMalwareHashRegistry::Match,10.24.77.41,140.82.114.5,Warning
2026-02-12T18:31:00Z,SSL::Invalid_Server_Cert,10.20.44.22,140.82.114.5,Info
2026-02-12T18:31:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,13.107.6.152,Notice
2026-02-12T18:32:00Z,SSL::Invalid_Server_Cert,10.24.77.41,140.82.114.5,Notice
2026-02-12T18:32:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,13.107.6.152,Info
2026-02-12T18:33:00Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Notice
2026-02-12T18:33:30Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Warning
2026-02-12T18:34:00Z,SSL::Invalid_Server_Cert,10.20.44.22,13.107.6.152,Notice
2026-02-12T18:34:30Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Warning
2026-02-12T18:35:00Z,SSL::Invalid_Server_Cert,10.24.77.41,52.96.44.2,Info
2026-02-12T18:35:30Z,TeamCymruMalwareHashRegistry::Match,10.21.8.44,140.82.114.5,Notice
2026-02-12T18:36:00Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,140.82.114.5,Warning
2026-02-12T18:36:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,140.82.114.5,Notice
2026-02-12T18:37:00Z,SSL::Invalid_Server_Cert,10.21.8.44,13.107.6.152,Notice
2026-02-12T18:37:30Z,SSL::Invalid_Server_Cert,10.20.44.22,52.96.44.2,Info
2026-02-12T18:38:00Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,52.96.44.2,Warning
2026-02-12T18:38:30Z,TeamCymruMalwareHashRegistry::Match,10.20.44.22,52.96.44.2,Notice
2026-02-12T18:39:00Z,SSL::Invalid_Server_Cert,10.24.77.41,13.107.6.152,Warning
2026-02-12T18:39:30Z,SSL::Invalid_Server_Cert,10.21.8.44,52.96.44.2,Notice
2026-02-12T18:40:00Z,SSL::Invalid_Server_Cert,10.24.77.41,13.107.6.152,Info
