ts,client,query,type,response,rcode,latency_ms
2026-02-04T00:00:00.000Z,WIN-FS01,box.com,A,52.92.128.17,NOERROR,42
2026-02-04T00:01:31.188Z,K8S-NODE-01,api.github.com,A,74.112.186.55,NOERROR,4
2026-02-04T00:03:10.849Z,WIN-HELPDESK-12,api.github.com,A,52.92.128.17,NOERROR,18
2026-02-04T00:03:58.209Z,K8S-NODE-01,cdn.slack.com,A,74.112.186.55,NOERROR,17
2026-02-04T00:05:12.091Z,LINUX-WEB-02,login.microsoftonline.com,A,140.82.112.5,NOERROR,64
2026-02-04T00:06:34.992Z,LINUX-WEB-02,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,64
2026-02-04T00:08:31.130Z,WIN-FS01,cdn.slack.com,A,140.82.112.5,NOERROR,57
2026-02-04T00:10:22.825Z,K8S-NODE-01,registry.npmjs.org,A,140.82.112.5,NOERROR,61
2026-02-04T00:11:56.625Z,K8S-NODE-01,box.com,A,52.92.128.17,NOERROR,47
2026-02-04T00:13:29.421Z,LINUX-WEB-02,login.microsoftonline.com,A,74.112.186.55,NOERROR,21
2026-02-04T00:14:32.882Z,LINUX-WEB-02,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,43
2026-02-04T00:15:32.417Z,WIN-FS01,box.com,A,52.92.128.17,NOERROR,5
2026-02-04T00:16:20.839Z,WIN-FS01,registry.npmjs.org,A,13.107.42.14,NOERROR,9
2026-02-04T00:17:54.616Z,WIN-FS01,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,50
2026-02-04T00:19:28.425Z,WIN-FIN-WS17,updates.microsoft.com,A,74.112.186.55,NOERROR,57
2026-02-04T00:20:17.274Z,K8S-NODE-01,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,16
2026-02-04T00:22:35.581Z,LINUX-WEB-02,registry.npmjs.org,A,52.92.128.17,NOERROR,12
2026-02-04T00:24:58.821Z,WIN-FIN-WS17,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,19
2026-02-04T00:26:15.026Z,K8S-NODE-01,box.com,A,13.107.42.14,NOERROR,2
2026-02-04T00:28:06.390Z,LINUX-JUMP-01,api.github.com,A,74.112.186.55,NOERROR,29
2026-02-04T00:28:53.050Z,WIN-FS01,registry.npmjs.org,A,74.112.186.55,NOERROR,51
2026-02-04T00:30:34.007Z,WIN-FS01,box.com,A,52.92.128.17,NOERROR,64
2026-02-04T00:32:31.738Z,LINUX-WEB-02,updates.microsoft.com,A,13.107.42.14,NOERROR,25
2026-02-04T00:34:44.765Z,WIN-FS01,cdn.slack.com,A,74.112.186.55,NOERROR,40
2026-02-04T00:36:04.174Z,LINUX-WEB-02,registry.npmjs.org,A,74.112.186.55,NOERROR,67
2026-02-04T00:36:47.457Z,LINUX-WEB-02,api.github.com,A,52.92.128.17,NOERROR,53
2026-02-04T00:37:28.894Z,WIN-FIN-WS17,cdn.slack.com,A,52.92.128.17,NOERROR,24
2026-02-04T00:39:16.380Z,K8S-NODE-01,registry.npmjs.org,A,140.82.112.5,NOERROR,9
2026-02-04T00:41:13.194Z,WIN-FS01,box.com,A,74.112.186.55,NOERROR,45
2026-02-04T00:43:44.036Z,WIN-FS01,cdn.slack.com,A,13.107.42.14,NOERROR,44
2026-02-04T00:46:23.435Z,K8S-NODE-01,box.com,A,52.92.128.17,NOERROR,17
2026-02-04T00:49:00.728Z,WIN-HELPDESK-12,registry.npmjs.org,A,74.112.186.55,NOERROR,55
2026-02-04T00:50:03.297Z,WIN-FS01,cdn.slack.com,A,52.92.128.17,NOERROR,13
2026-02-04T00:52:25.206Z,LINUX-JUMP-01,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,2
2026-02-04T00:54:19.544Z,LINUX-JUMP-01,updates.microsoft.com,A,52.92.128.17,NOERROR,37
2026-02-04T00:56:32.048Z,LINUX-JUMP-01,cdn.slack.com,A,52.92.128.17,NOERROR,33
2026-02-04T00:57:23.358Z,K8S-NODE-01,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,17
2026-02-04T00:58:02.014Z,K8S-NODE-01,login.microsoftonline.com,A,52.92.128.17,NOERROR,15
2026-02-04T01:00:40.271Z,LINUX-WEB-02,updates.microsoft.com,A,74.112.186.55,NOERROR,21
2026-02-04T01:03:31.645Z,LINUX-WEB-02,box.com,A,140.82.112.5,NOERROR,25
2026-02-04T01:05:22.132Z,K8S-NODE-01,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,65
2026-02-04T01:08:10.594Z,WIN-FS01,cdn.slack.com,A,74.112.186.55,NOERROR,54
2026-02-04T01:11:02.126Z,WIN-HELPDESK-12,cdn.slack.com,A,140.82.112.5,NOERROR,3
2026-02-04T01:13:24.949Z,WIN-HELPDESK-12,box.com,A,13.107.42.14,NOERROR,37
2026-02-04T01:15:32.473Z,LINUX-JUMP-01,updates.microsoft.com,A,52.92.128.17,NOERROR,70
2026-02-04T01:18:09.939Z,WIN-FS01,registry.npmjs.org,A,74.112.186.55,NOERROR,14
2026-02-04T01:20:50.816Z,K8S-NODE-01,login.microsoftonline.com,A,74.112.186.55,NOERROR,3
2026-02-04T01:22:56.189Z,LINUX-JUMP-01,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,63
2026-02-04T01:25:44.402Z,LINUX-WEB-02,updates.microsoft.com,A,140.82.112.5,NOERROR,35
2026-02-04T01:26:52.955Z,WIN-HELPDESK-12,registry.npmjs.org,A,13.107.42.14,NOERROR,21
2026-02-04T01:29:02.600Z,WIN-HELPDESK-12,login.microsoftonline.com,A,74.112.186.55,NOERROR,17
2026-02-04T01:29:54.833Z,LINUX-WEB-02,cdn.slack.com,A,140.82.112.5,NOERROR,17
2026-02-04T01:31:42.106Z,WIN-FIN-WS17,login.microsoftonline.com,A,74.112.186.55,NOERROR,57
2026-02-04T01:34:13.067Z,WIN-FIN-WS17,registry.npmjs.org,A,52.92.128.17,NOERROR,24
2026-02-04T01:35:01.953Z,LINUX-WEB-02,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,27
2026-02-04T01:35:49.180Z,WIN-HELPDESK-12,registry.npmjs.org,A,140.82.112.5,NOERROR,31
2026-02-04T01:37:16.198Z,WIN-HELPDESK-12,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,11
2026-02-04T01:37:59.901Z,WIN-FIN-WS17,box.com,A,13.107.42.14,NOERROR,13
2026-02-04T01:40:12.505Z,WIN-FS01,box.com,A,13.107.42.14,NOERROR,61
2026-02-04T01:41:23.751Z,LINUX-JUMP-01,updates.microsoft.com,A,52.92.128.17,NOERROR,32
2026-02-04T01:43:38.812Z,LINUX-WEB-02,login.microsoftonline.com,A,74.112.186.55,NOERROR,53
2026-02-04T01:45:48.784Z,K8S-NODE-01,updates.microsoft.com,A,74.112.186.55,NOERROR,11
2026-02-04T01:47:44.434Z,LINUX-JUMP-01,updates.microsoft.com,A,52.92.128.17,NOERROR,30
2026-02-04T01:48:38.354Z,LINUX-JUMP-01,api.github.com,A,13.107.42.14,NOERROR,38
2026-02-04T01:50:25.363Z,WIN-FS01,login.microsoftonline.com,A,13.107.42.14,NOERROR,35
2026-02-04T01:51:40.107Z,WIN-FS01,cdn.slack.com,A,52.92.128.17,NOERROR,4
2026-02-04T01:52:27.801Z,LINUX-WEB-02,registry.npmjs.org,A,52.92.128.17,NOERROR,48
2026-02-04T01:53:07.986Z,WIN-FS01,cdn.slack.com,A,52.92.128.17,NOERROR,45
2026-02-04T01:53:43.052Z,K8S-NODE-01,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,38
2026-02-04T01:55:35.795Z,WIN-FS01,box.com,A,52.92.128.17,NOERROR,49
2026-02-04T01:57:27.497Z,WIN-FS01,box.com,A,13.107.42.14,NOERROR,19
2026-02-04T01:58:23.943Z,WIN-HELPDESK-12,registry.npmjs.org,A,140.82.112.5,NOERROR,12
2026-02-04T02:01:02.440Z,K8S-NODE-01,api.github.com,A,74.112.186.55,NOERROR,26
2026-02-04T02:01:51.406Z,WIN-HELPDESK-12,api.github.com,A,52.92.128.17,NOERROR,62
2026-02-04T02:03:21.772Z,WIN-FS01,registry.npmjs.org,A,74.112.186.55,NOERROR,68
2026-02-04T02:05:37.787Z,K8S-NODE-01,updates.microsoft.com,A,140.82.112.5,NOERROR,32
2026-02-04T02:07:04.672Z,WIN-FS01,registry.npmjs.org,A,13.107.42.14,NOERROR,25
2026-02-04T02:08:13.632Z,K8S-NODE-01,registry.npmjs.org,A,74.112.186.55,NOERROR,47
2026-02-04T02:10:12.552Z,WIN-HELPDESK-12,registry.npmjs.org,A,74.112.186.55,NOERROR,67
2026-02-04T02:12:31.066Z,WIN-FS01,login.microsoftonline.com,A,74.112.186.55,NOERROR,38
2026-02-04T02:13:53.180Z,WIN-FIN-WS17,registry.npmjs.org,A,52.92.128.17,NOERROR,26
2026-02-04T02:15:04.199Z,LINUX-WEB-02,box.com,A,13.107.42.14,NOERROR,28
2026-02-04T02:16:01.983Z,LINUX-WEB-02,registry.npmjs.org,A,52.92.128.17,NOERROR,22
2026-02-04T02:18:34.915Z,K8S-NODE-01,registry.npmjs.org,A,13.107.42.14,NOERROR,15
2026-02-04T02:19:34.942Z,LINUX-WEB-02,login.microsoftonline.com,A,74.112.186.55,NOERROR,37
2026-02-04T02:22:02.462Z,LINUX-JUMP-01,updates.microsoft.com,A,13.107.42.14,NOERROR,53
2026-02-04T02:24:55.922Z,WIN-HELPDESK-12,box.com,A,52.92.128.17,NOERROR,25
2026-02-04T02:26:04.937Z,WIN-HELPDESK-12,login.microsoftonline.com,A,52.92.128.17,NOERROR,37
2026-02-04T02:27:12.618Z,LINUX-JUMP-01,login.microsoftonline.com,A,140.82.112.5,NOERROR,59
2026-02-04T02:29:10.172Z,LINUX-WEB-02,login.microsoftonline.com,A,140.82.112.5,NOERROR,65
2026-02-04T02:31:01.309Z,WIN-FS01,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,20
2026-02-04T02:33:38.006Z,WIN-FS01,registry.npmjs.org,A,74.112.186.55,NOERROR,69
2026-02-04T02:36:05.160Z,LINUX-JUMP-01,api.github.com,A,74.112.186.55,NOERROR,30
2026-02-04T02:37:53.217Z,K8S-NODE-01,cdn.slack.com,A,140.82.112.5,NOERROR,31
2026-02-04T02:38:30.648Z,WIN-HELPDESK-12,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,21
2026-02-04T02:39:18.877Z,LINUX-JUMP-01,registry.npmjs.org,A,52.92.128.17,NOERROR,12
2026-02-04T02:40:10.701Z,WIN-FIN-WS17,registry.npmjs.org,A,13.107.42.14,NOERROR,34
2026-02-04T02:42:46.330Z,WIN-HELPDESK-12,box.com,A,140.82.112.5,NOERROR,39
2026-02-04T02:45:33.022Z,WIN-HELPDESK-12,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,20
2026-02-04T02:47:45.747Z,LINUX-WEB-02,cdn.slack.com,A,13.107.42.14,NOERROR,51
2026-02-04T02:50:21.820Z,LINUX-JUMP-01,cdn.slack.com,A,13.107.42.14,NOERROR,17
2026-02-04T02:51:18.035Z,WIN-FS01,registry.npmjs.org,A,74.112.186.55,NOERROR,70
2026-02-04T02:52:57.366Z,WIN-HELPDESK-12,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,40
2026-02-04T02:55:45.153Z,WIN-FIN-WS17,api.github.com,A,52.92.128.17,NOERROR,52
2026-02-04T02:58:39.494Z,WIN-HELPDESK-12,login.microsoftonline.com,A,74.112.186.55,NOERROR,41
2026-02-04T03:01:24.348Z,LINUX-JUMP-01,updates.microsoft.com,A,52.92.128.17,NOERROR,38
2026-02-04T03:03:39.942Z,LINUX-WEB-02,api.github.com,A,52.92.128.17,NOERROR,28
2026-02-04T03:06:27.859Z,WIN-FIN-WS17,api.github.com,A,74.112.186.55,NOERROR,70
2026-02-04T03:07:08.336Z,LINUX-JUMP-01,login.microsoftonline.com,A,140.82.112.5,NOERROR,6
2026-02-04T03:08:51.006Z,WIN-HELPDESK-12,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,56
2026-02-04T03:09:34.226Z,LINUX-WEB-02,s3.us-west-2.amazonaws.com,A,52.92.128.17,NOERROR,8
2026-02-04T03:11:38.611Z,WIN-FS01,login.microsoftonline.com,A,13.107.42.14,NOERROR,52
2026-02-04T03:12:31.930Z,LINUX-JUMP-01,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,45
2026-02-04T03:13:35.221Z,WIN-HELPDESK-12,login.microsoftonline.com,A,52.92.128.17,NOERROR,3
2026-02-04T03:16:27.647Z,LINUX-JUMP-01,cdn.slack.com,A,74.112.186.55,NOERROR,21
2026-02-04T03:17:13.898Z,LINUX-JUMP-01,api.github.com,A,140.82.112.5,NOERROR,50
2026-02-04T03:18:43.339Z,WIN-HELPDESK-12,cdn.slack.com,A,140.82.112.5,NOERROR,56
2026-02-04T03:19:49.242Z,WIN-FS01,login.microsoftonline.com,A,74.112.186.55,NOERROR,2
2026-02-04T03:20:35.897Z,WIN-FS01,api.github.com,A,52.92.128.17,NOERROR,14
2026-02-04T03:23:23.135Z,WIN-FS01,login.microsoftonline.com,A,140.82.112.5,NOERROR,55
2026-02-04T03:25:02.140Z,WIN-HELPDESK-12,cdn.slack.com,A,140.82.112.5,NOERROR,53
2026-02-04T03:26:39.239Z,LINUX-WEB-02,login.microsoftonline.com,A,52.92.128.17,NOERROR,16
2026-02-04T03:28:11.754Z,K8S-NODE-01,updates.microsoft.com,A,74.112.186.55,NOERROR,20
2026-02-04T03:29:29.866Z,LINUX-WEB-02,box.com,A,13.107.42.14,NOERROR,35
2026-02-04T03:30:45.526Z,LINUX-WEB-02,login.microsoftonline.com,A,52.92.128.17,NOERROR,20
2026-02-04T03:31:44.255Z,WIN-FIN-WS17,login.microsoftonline.com,A,13.107.42.14,NOERROR,47
2026-02-04T03:34:31.621Z,LINUX-WEB-02,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,54
2026-02-04T03:35:30.919Z,LINUX-JUMP-01,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,7
2026-02-04T03:37:17.336Z,LINUX-JUMP-01,registry.npmjs.org,A,140.82.112.5,NOERROR,28
2026-02-04T03:39:51.273Z,WIN-FIN-WS17,registry.npmjs.org,A,13.107.42.14,NOERROR,43
2026-02-04T03:40:49.251Z,WIN-HELPDESK-12,box.com,A,140.82.112.5,NOERROR,24
2026-02-04T03:42:12.633Z,WIN-HELPDESK-12,login.microsoftonline.com,A,140.82.112.5,NOERROR,3
2026-02-04T03:44:55.077Z,WIN-HELPDESK-12,cdn.slack.com,A,74.112.186.55,NOERROR,22
2026-02-04T03:47:13.639Z,LINUX-WEB-02,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,48
2026-02-04T03:49:52.329Z,LINUX-JUMP-01,cdn.slack.com,A,74.112.186.55,NOERROR,48
2026-02-04T03:51:44.541Z,WIN-HELPDESK-12,box.com,A,52.92.128.17,NOERROR,2
2026-02-04T03:54:31.258Z,K8S-NODE-01,api.github.com,A,52.92.128.17,NOERROR,64
2026-02-04T03:56:11.366Z,WIN-FS01,updates.microsoft.com,A,140.82.112.5,NOERROR,57
2026-02-04T03:58:43.902Z,WIN-FS01,login.microsoftonline.com,A,74.112.186.55,NOERROR,15
