UtcTime,Computer,User,EventID,Image,CommandLine,ParentImage,DestinationIp,DestinationPort,Hashes
2026-02-04 00:00:00.000,LINUX-WEB-02,a.kim,1,node,"node",systemd,,,SHA256=00061307d8efc4c500061307d8efc4c500061307d8efc4c500061307d8efc4c5
2026-02-04 00:02:39.992,K8S-NODE-01,svc-export,1,slack.exe,"slack.exe",explorer.exe,,,SHA256=00042dd5d559055100042dd5d559055100042dd5d559055100042dd5d5590551
2026-02-04 00:13:09.565,LINUX-JUMP-01,d.holt,1,powershell.exe,"powershell.exe",launchd,,,SHA256=001e49e2c0d1f0b4001e49e2c0d1f0b4001e49e2c0d1f0b4001e49e2c0d1f0b4
2026-02-04 00:24:14.352,LINUX-JUMP-01,svc.sync,1,slack.exe,"slack.exe",systemd,,,SHA256=001385c1a107e475001385c1a107e475001385c1a107e475001385c1a107e475
2026-02-04 00:32:39.692,LINUX-JUMP-01,svc.sync,1,sshd,"sshd",systemd,,,SHA256=0008cf62978c60e30008cf62978c60e30008cf62978c60e30008cf62978c60e3
2026-02-04 00:40:02.255,WIN-HELPDESK-12,svc.export,1,chrome.exe,"chrome.exe",systemd,,,SHA256=000786ba63ea19d4000786ba63ea19d4000786ba63ea19d4000786ba63ea19d4
2026-02-04 00:44:54.149,WIN-FS01,a.kim,1,chrome.exe,"chrome.exe",explorer.exe,,,SHA256=00023da4f512648300023da4f512648300023da4f512648300023da4f5126483
2026-02-04 00:48:34.155,K8S-NODE-01,svc.export,1,python3,"python3",launchd,,,SHA256=0020a8c937e517340020a8c937e517340020a8c937e517340020a8c937e51734
2026-02-04 00:55:26.580,LINUX-JUMP-01,svc-build,1,chrome.exe,"chrome.exe",systemd,,,SHA256=000b37e616b62c5d000b37e616b62c5d000b37e616b62c5d000b37e616b62c5d
2026-02-04 00:58:21.656,WIN-FIN-WS17,svc-export,1,node,"node",systemd,,,SHA256=000984c639593e96000984c639593e96000984c639593e96000984c639593e96
2026-02-04 01:04:47.678,LINUX-WEB-02,svc-build,1,slack.exe,"slack.exe",explorer.exe,,,SHA256=001a5265159c8b70001a5265159c8b70001a5265159c8b70001a5265159c8b70
2026-02-04 01:07:48.026,WIN-FIN-WS17,a.kim,1,python3,"python3",systemd,,,SHA256=001e4ef3a4f76afe001e4ef3a4f76afe001e4ef3a4f76afe001e4ef3a4f76afe
2026-02-04 01:17:08.514,LINUX-JUMP-01,a.kim,1,git,"git",explorer.exe,,,SHA256=001778ffac3d5ecb001778ffac3d5ecb001778ffac3d5ecb001778ffac3d5ecb
2026-02-04 01:20:33.590,WIN-FIN-WS17,a.kim,1,python3,"python3",explorer.exe,,,SHA256=0005d1bbcca3d6600005d1bbcca3d6600005d1bbcca3d6600005d1bbcca3d660
2026-02-04 01:29:33.886,K8S-NODE-01,d.holt,1,slack.exe,"slack.exe",explorer.exe,,,SHA256=0013bcfdac64d8ac0013bcfdac64d8ac0013bcfdac64d8ac0013bcfdac64d8ac
2026-02-04 01:35:01.438,WIN-FIN-WS17,svc-export,1,python3,"python3",explorer.exe,,,SHA256=00123c0009f6b8e800123c0009f6b8e800123c0009f6b8e800123c0009f6b8e8
2026-02-04 01:40:10.180,LINUX-JUMP-01,marina.ko,1,outlook.exe,"outlook.exe",explorer.exe,,,SHA256=001d1cad65122ad7001d1cad65122ad7001d1cad65122ad7001d1cad65122ad7
2026-02-04 01:48:14.500,LINUX-JUMP-01,svc.sync,1,powershell.exe,"powershell.exe",launchd,,,SHA256=0015da45640d3d6d0015da45640d3d6d0015da45640d3d6d0015da45640d3d6d
2026-02-04 01:55:52.863,K8S-NODE-01,svc-build,1,git,"git",systemd,,,SHA256=000f69cfe1c74c3a000f69cfe1c74c3a000f69cfe1c74c3a000f69cfe1c74c3a
2026-02-04 01:59:30.677,WIN-FIN-WS17,a.kim,1,node,"node",cmd.exe,,,SHA256=00179a12c913a73600179a12c913a73600179a12c913a73600179a12c913a736
2026-02-04 02:03:29.356,LINUX-JUMP-01,d.holt,1,slack.exe,"slack.exe",launchd,,,SHA256=00136375684fd5c100136375684fd5c100136375684fd5c100136375684fd5c1
2026-02-04 02:10:48.322,LINUX-JUMP-01,svc.export,1,outlook.exe,"outlook.exe",systemd,,,SHA256=0001286034ecc4ed0001286034ecc4ed0001286034ecc4ed0001286034ecc4ed
2026-02-04 02:16:53.638,WIN-FS01,a.kim,1,git,"git",launchd,,,SHA256=00067c9b5a63327500067c9b5a63327500067c9b5a63327500067c9b5a633275
2026-02-04 02:19:50.003,WIN-FS01,a.kim,1,python3,"python3",explorer.exe,,,SHA256=002149e591ed0ce2002149e591ed0ce2002149e591ed0ce2002149e591ed0ce2
2026-02-04 02:26:19.590,LINUX-JUMP-01,svc-export,1,powershell.exe,"powershell.exe",cmd.exe,,,SHA256=0014f40fe5539eda0014f40fe5539eda0014f40fe5539eda0014f40fe5539eda
2026-02-04 02:31:38.110,LINUX-WEB-02,marina.ko,1,sshd,"sshd",launchd,,,SHA256=001896793430fe85001896793430fe85001896793430fe85001896793430fe85
2026-02-04 02:40:40.684,LINUX-JUMP-01,svc-build,1,powershell.exe,"powershell.exe",launchd,,,SHA256=0020d7a9ae49b3880020d7a9ae49b3880020d7a9ae49b3880020d7a9ae49b388
